date_long;total_infections;daily_infections
2021-09-01T08:00:00+02:00;686092;2034
2021-09-02T08:00:00+02:00;687474;1382
2021-09-03T08:00:00+02:00;689294;1820
2021-09-04T08:00:00+02:00;691081;1787
2021-09-05T08:00:00+02:00;692837;1756
2021-09-06T08:00:00+02:00;694209;1372
2021-09-07T08:00:00+02:00;695411;1202
2021-09-08T08:00:00+02:00;697970;2559
2021-09-09T08:00:00+02:00;700283;2313
2021-09-10T08:00:00+02:00;702775;2492
2021-09-11T08:00:00+02:00;705137;2362
2021-09-12T08:00:00+02:00;706874;1737
2021-09-13T08:00:00+02:00;708184;1310
2021-09-14T08:00:00+02:00;710193;2009
2021-09-15T08:00:00+02:00;712640;2447
2021-09-16T08:00:00+02:00;714976;2336
2021-09-17T08:00:00+02:00;717339;2363
2021-09-18T08:00:00+02:00;719253;1914
2021-09-19T08:00:00+02:00;720906;1653
2021-09-20T08:00:00+02:00;722177;1271
2021-09-21T08:00:00+02:00;723624;1447
2021-09-22T08:00:00+02:00;725593;1969
2021-09-23T08:00:00+02:00;727316;1723
2021-09-24T08:00:00+02:00;729061;1745
2021-09-25T08:00:00+02:00;730993;1932
2021-09-26T08:00:00+02:00;732607;1614
2021-09-27T08:00:00+02:00;733815;1208
2021-09-28T08:00:00+02:00;735563;1748
2021-09-29T08:00:00+02:00;737679;2116
2021-09-30T08:00:00+02:00;739807;2128
2021-10-01T08:00:00+02:00;741646;1839
2021-10-02T08:00:00+02:00;743390;1744
2021-10-03T08:00:00+02:00;745103;1713
2021-10-04T08:00:00+02:00;746368;1265
2021-10-05T08:00:00+02:00;747726;1358
2021-10-06T08:00:00+02:00;750538;2812
2021-10-07T08:00:00+02:00;752553;2015
2021-10-08T08:00:00+02:00;754405;1852
2021-10-09T08:00:00+02:00;756133;1728
2021-10-10T08:00:00+02:00;757798;1665
2021-10-11T08:00:00+02:00;759086;1288
2021-10-12T08:00:00+02:00;760820;1734
2021-10-13T08:00:00+02:00;763258;2438
2021-10-14T08:00:00+02:00;765342;2084
2021-10-15T08:00:00+02:00;768072;2730
2021-10-16T08:00:00+02:00;770503;2431
2021-10-17T08:00:00+02:00;772606;2103
2021-10-18T08:00:00+02:00;774290;1684
2021-10-19T08:00:00+02:00;777340;3050
2021-10-20T08:00:00+02:00;781071;3731
2021-10-21T08:00:00+02:00;784973;3902
